STRUCTURE,STRUCTURE_ID,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRH,2020,19800,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRH0,2020,19800,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRI,2020,20000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRI1,2020,20600,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRI2,2020,19300,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRI3,2020,19000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRJ,2020,19900,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRJ1,2020,18000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRJ2,2020,21700,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRK,2020,22900,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRK1,2020,19500,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRK2,2020,23600,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRL,2020,22000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRL0,2020,22000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRM,2020,20000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRM0,2020,20000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRY,2020,15400,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRY1,2020,17000,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRY2,2020,19800,e
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,FRY3,2020,11900,e
