STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG415,2020,7.94,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG42,2020,148.24,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG421,2020,56.45,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG422,2020,24.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG423,2020,32.79,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG424,2020,10.78,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG425,2020,23.52,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY,2020,15.14,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY,2021,15.25,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY0,2020,15.14,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY0,2021,15.25,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY00,2020,15.14,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY00,2021,15.25,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY000,2020,15.14,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CY000,2021,15.25,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ,2020,162,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ,2021,160,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ0,2020,162,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ0,2021,160,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ01,2020,5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ01,2021,6,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ010,2020,5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ010,2021,6,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ02,2020,23,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ02,2021,22,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ020,2020,23,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ020,2021,22,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ03,2020,29,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ03,2021,29,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ031,2020,17,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ031,2021,17,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ032,2020,11,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ032,2021,12,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ04,2020,11,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ04,2021,11,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ041,2020,4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ041,2021,4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ042,2020,8,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ042,2021,8,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ05,2020,26,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ05,2021,26,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ051,2020,4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ051,2021,4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ052,2020,10,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ052,2021,10,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ053,2020,12,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ053,2021,12,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ06,2020,37,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ06,2021,36,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ063,2020,19,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ063,2021,18,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ064,2020,18,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ064,2021,18,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ07,2020,21,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ07,2021,20,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ071,2020,12,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,CZ071,2021,12,
